Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
18/11/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
17/11/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
16/11/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
15/11/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
14/11/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
11/11/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
10/11/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
09/11/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
08/11/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
07/11/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
04/11/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
03/11/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
02/11/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
01/11/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
31/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
28/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
27/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
26/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
25/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
24/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
21/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
20/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
19/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
18/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
17/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
14/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
13/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
12/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
11/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
10/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
07/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
06/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
05/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
04/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
03/10/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
30/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
29/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
28/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
27/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
26/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
23/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
22/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
21/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
20/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
19/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
16/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
15/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
14/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
13/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
12/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
09/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
08/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
07/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
06/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
05/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
01/09/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
31/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
30/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
29/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
26/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
25/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
24/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
23/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
22/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
19/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
18/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
17/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
16/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
15/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
12/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
11/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
10/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
09/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
08/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
05/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
04/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
03/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
02/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
01/08/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
29/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
28/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
27/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
26/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
25/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
22/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
21/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
20/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
19/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
18/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
15/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
14/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
13/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
12/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
11/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
08/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
07/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
06/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
05/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
04/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
01/07/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
30/06/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
29/06/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
28/06/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
27/06/2016,2.2,2.2,0.0,0,0,0,0,0.0,0.0,0.0
