Ngày,Mở cửa,Đóng cửa,Thay đổi,% Thay đổi,KLGD khớp lệnh,KLGD thỏa thuận,KLGD tổng cộng,GTGD khớp lệnh (tỷ),GTGD thỏa thuận (tỷ),GTGD tổng cộng (tỷ)
17/06/2022,7.4,6.0,-0.9,-13.04%,8900,0,8900,0.0,0.0,0.0
16/06/2022,7.2,6.9,0.4,6.15%,2500,0,2500,0.0,0.0,0.0
15/06/2022,7.0,6.4,-0.6,-8.57%,12200,0,12200,0.0,0.0,0.0
14/06/2022,7.5,7.0,-0.2,-2.78%,14200,0,14200,0.0,0.0,0.0
13/06/2022,7.6,7.6,0.1,1.33%,4900,0,4900,0.0,0.0,0.0
10/06/2022,7.6,7.5,0.0,0,500,0,500,0.0,0.0,0.0
09/06/2022,7.6,7.5,0.3,4.17%,2500,0,2500,0.0,0.0,0.0
08/06/2022,7.9,7.2,-0.1,-1.37%,5400,0,5400,0.0,0.0,0.0
07/06/2022,7.5,7.4,-0.1,-1.33%,16300,0,16300,0.0,0.0,0.0
06/06/2022,7.6,7.4,-0.1,-1.33%,13700,0,13700,0.0,0.0,0.0
03/06/2022,8.3,7.3,-0.4,-5.19%,24400,0,24400,0.0,0.0,0.0
02/06/2022,7.7,7.7,-0.1,-1.28%,18500,0,18500,0.0,0.0,0.0
01/06/2022,7.6,8.0,0.3,3.90%,24800,0,24800,0.0,0.0,0.0
31/05/2022,7.6,7.8,-0.1,-1.27%,9900,0,9900,0.0,0.0,0.0
30/05/2022,8.1,7.9,0.1,1.28%,9100,0,9100,0.0,0.0,0.0
27/05/2022,7.7,7.7,-0.3,-3.75%,15100,0,15100,0.0,0.0,0.0
26/05/2022,8.0,7.9,-0.1,-1.25%,17300,0,17300,0.0,0.0,0.0
25/05/2022,7.6,8.0,0.0,0,11500,0,11500,0.0,0.0,0.0
24/05/2022,8.2,8.4,0.2,2.44%,8100,0,8100,0.0,0.0,0.0
23/05/2022,8.8,8.2,0.0,0,15100,0,15100,0.0,0.0,0.0
20/05/2022,8.3,8.2,-0.4,-4.65%,18300,0,18300,0.0,0.0,0.0
19/05/2022,8.5,8.5,-0.3,-3.41%,10200,0,10200,0.09,0.0,0.08765
18/05/2022,9.7,8.8,0.1,1.15%,34300,280000,34300,0.3,2.24,2.54312
17/05/2022,8.5,8.9,0.4,4.71%,16720,24000,16700,0.15,0.1752,0.3207
16/05/2022,8.7,8.5,0.9,11.84%,18560,247000,18500,0.16,1.6055,1.76277
13/05/2022,9.8,7.4,-1.2,-13.95%,94712,0,94700,0.72,0.0,0.71969
12/05/2022,9.2,8.5,-0.8,-8.60%,18253,0,18200,0.16,0.0,0.15724
11/05/2022,9.5,9.3,1.0,12.05%,23700,0,23700,0.22,0.0,0.22055
10/05/2022,8.0,8.4,-0.1,-1.18%,43092,0,43000,0.36,0.0,0.35916
09/05/2022,9.8,8.4,-1.4,-14.29%,115205,0,115200,0.98,0.0,0.97872
06/05/2022,9.7,9.5,-1.5,-13.64%,69050,160000,69000,0.67,1.504,2.17723
05/05/2022,10.9,11.0,0.1,0.92%,61024,0,61000,0.67,0.0,0.67057
04/05/2022,10.6,10.8,0.5,4.85%,46795,0,46700,0.51,0.0,0.50944
29/04/2022,10.0,10.6,1.3,13.98%,167274,0,167200,1.73,0.0,1.7283
28/04/2022,8.6,9.5,1.2,14.46%,32150,0,32100,0.3,0.0,0.29993
27/04/2022,8.5,8.3,0.3,3.75%,91200,0,91200,0.75,0.0,0.75425
26/04/2022,7.9,9.5,0.3,3.26%,305290,0,305200,2.45,0.0,2.45499
25/04/2022,9.2,9.2,-1.6,-14.81%,1427,0,1400,0.01,0.0,0.01317
22/04/2022,10.8,10.8,-1.8,-14.29%,17000,0,17000,0.18,0.0,0.1836
21/04/2022,13.0,12.5,-2.1,-14.38%,7901,0,7900,0.1,0.0,0.09926
20/04/2022,15.0,13.5,0.2,1.50%,279901,0,279900,4.09,0.0,4.09128
19/04/2022,13.4,13.4,1.7,14.53%,91600,0,91600,1.22,0.0,1.22201
18/04/2022,11.7,11.7,1.5,14.71%,429301,0,429300,5.02,0.0,5.0196
15/04/2022,10.2,10.2,1.3,14.61%,212200,0,212200,2.16,0.0,2.16383
14/04/2022,8.9,8.9,1.1,14.10%,137300,50000,137300,1.22,0.445,1.66697
13/04/2022,6.8,7.8,1.0,14.71%,58916,0,58900,0.46,0.0,0.45699
12/04/2022,6.8,6.8,0.0,0,0,0,0,0.0,0.0,0.0
08/04/2022,5.8,6.8,0.0,0,6750,0,6700,0.05,0.0,0.04564
07/04/2022,6.8,6.8,0.0,0,0,0,0,0.0,0.0,0.0
06/04/2022,6.8,6.8,0.0,0,0,0,0,0.0,0.0,0.0
05/04/2022,6.8,6.8,0.0,0,0,0,0,0.0,0.0,0.0
04/04/2022,6.8,6.8,0.0,0,0,0,0,0.0,0.0,0.0
01/04/2022,6.8,7.0,0.2,2.94%,22200,0,22200,0.15,0.0,0.15196
31/03/2022,6.8,6.8,0.0,0,0,0,0,0.0,0.0,0.0
30/03/2022,6.8,6.8,0.0,0,0,0,0,0.0,0.0,0.0
29/03/2022,6.8,6.8,0.0,0,0,0,0,0.0,0.0,0.0
28/03/2022,6.8,6.8,0.0,0,0,0,0,0.0,0.0,0.0
25/03/2022,6.6,7.1,-0.4,-5.33%,72100,345000,72100,0.49,2.5105,2.99847
24/03/2022,7.5,7.5,0.0,0,0,0,0,0.0,0.0,0.0
23/03/2022,7.5,7.5,0.0,0,0,0,0,0.0,0.0,0.0
22/03/2022,7.5,7.5,0.0,0,0,0,0,0.0,0.0,0.0
21/03/2022,7.5,7.5,0.0,0,0,0,0,0.0,0.0,0.0
18/03/2022,7.4,7.6,-0.2,-2.56%,4600,40000,4600,0.03,0.268,0.30251
17/03/2022,7.8,7.8,0.0,0,0,0,0,0.0,0.0,0.0
16/03/2022,7.8,7.8,0.0,0,0,0,0,0.0,0.0,0.0
15/03/2022,7.8,7.8,0.0,0,0,0,0,0.0,0.0,0.0
14/03/2022,7.8,7.8,0.0,0,0,0,0,0.0,0.0,0.0
11/03/2022,8.0,7.6,0.0,0,17000,432200,17000,0.13,2.8093,2.94178
10/03/2022,7.6,7.6,0.0,0,0,0,0,0.0,0.0,0.0
09/03/2022,7.6,7.6,0.0,0,0,0,0,0.0,0.0,0.0
08/03/2022,7.6,7.6,0.0,0,0,0,0,0.0,0.0,0.0
07/03/2022,7.6,7.6,0.0,0,0,0,0,0.0,0.0,0.0
04/03/2022,8.6,7.5,-0.1,-1.32%,23600,0,23600,0.18,0.0,0.18031
03/03/2022,7.6,7.6,0.0,0,0,0,0,0.0,0.0,0.0
02/03/2022,7.6,7.6,0.0,0,0,0,0,0.0,0.0,0.0
01/03/2022,7.6,7.6,0.0,0,0,0,0,0.0,0.0,0.0
28/02/2022,7.6,7.6,0.0,0,0,0,0,0.0,0.0,0.0
25/02/2022,8.1,7.8,0.3,4.00%,30600,0,30600,0.23,0.0,0.23269
24/02/2022,7.5,7.5,0.0,0,0,0,0,0.0,0.0,0.0
23/02/2022,7.5,7.5,0.0,0,0,0,0,0.0,0.0,0.0
22/02/2022,7.5,7.5,0.0,0,0,0,0,0.0,0.0,0.0
21/02/2022,7.5,7.5,0.0,0,0,0,0,0.0,0.0,0.0
18/02/2022,7.4,7.6,0.3,4.11%,24400,0,24400,0.18,0.0,0.18186
17/02/2022,7.3,7.3,0.0,0,0,0,0,0.0,0.0,0.0
16/02/2022,7.3,7.3,0.0,0,0,0,0,0.0,0.0,0.0
15/02/2022,7.3,7.3,0.0,0,0,0,0,0.0,0.0,0.0
14/02/2022,7.3,7.3,0.0,0,0,0,0,0.0,0.0,0.0
11/02/2022,6.5,7.4,0.9,13.85%,92700,0,92700,0.67,0.0,0.67489
10/02/2022,6.5,6.5,0.0,0,0,0,0,0.0,0.0,0.0
09/02/2022,6.5,6.5,0.0,0,0,0,0,0.0,0.0,0.0
08/02/2022,6.5,6.5,0.0,0,0,0,0,0.0,0.0,0.0
07/02/2022,6.5,6.5,0.0,0,0,0,0,0.0,0.0,0.0
28/01/2022,7.0,6.5,-0.6,-8.45%,20100,0,20100,0.13,0.0,0.13018
27/01/2022,7.1,7.1,0.0,0,0,0,0,0.0,0.0,0.0
26/01/2022,7.1,7.1,0.0,0,0,0,0,0.0,0.0,0.0
25/01/2022,7.1,7.1,0.0,0,0,0,0,0.0,0.0,0.0
24/01/2022,7.1,7.1,0.0,0,0,0,0,0.0,0.0,0.0
21/01/2022,7.0,7.1,0.3,4.41%,26158,275000,26100,0.19,2.0625,2.2495
20/01/2022,6.8,6.8,0.0,0,0,0,0,0.0,0.0,0.0
19/01/2022,6.8,6.8,0.0,0,0,0,0,0.0,0.0,0.0
18/01/2022,6.8,6.8,0.0,0,0,0,0,0.0,0.0,0.0
17/01/2022,6.8,6.8,0.0,0,0,0,0,0.0,0.0,0.0
14/01/2022,7.1,6.7,-0.4,-5.63%,28635,0,28600,0.2,0.0,0.19563
13/01/2022,7.1,7.1,0.0,0,0,0,0,0.0,0.0,0.0
12/01/2022,7.1,7.1,0.0,0,0,0,0,0.0,0.0,0.0
11/01/2022,7.1,7.1,0.0,0,0,0,0,0.0,0.0,0.0
10/01/2022,7.1,7.1,0.0,0,0,0,0,0.0,0.0,0.0
07/01/2022,7.9,7.0,-0.6,-7.89%,67328,0,67300,0.48,0.0,0.47692
06/01/2022,7.6,7.6,0.0,0,0,0,0,0.0,0.0,0.0
05/01/2022,7.6,7.6,0.0,0,0,0,0,0.0,0.0,0.0
04/01/2022,7.6,7.6,0.0,0,0,0,0,0.0,0.0,0.0
31/12/2021,7.9,7.5,-0.2,-2.60%,41400,0,41400,0.31,0.0,0.31428
30/12/2021,7.7,7.7,0.0,0,0,0,0,0.0,0.0,0.0
29/12/2021,7.7,7.7,0.0,0,0,0,0,0.0,0.0,0.0
28/12/2021,7.7,7.7,0.0,0,0,0,0,0.0,0.0,0.0
27/12/2021,7.7,7.7,0.0,0,0,0,0,0.0,0.0,0.0
24/12/2021,8.0,7.9,0.2,2.60%,93736,0,93700,0.72,0.0,0.71834
23/12/2021,7.7,7.7,0.0,0,0,0,0,0.0,0.0,0.0
22/12/2021,7.7,7.7,0.0,0,0,0,0,0.0,0.0,0.0
21/12/2021,7.7,7.7,0.0,0,0,0,0,0.0,0.0,0.0
20/12/2021,7.7,7.7,0.0,0,0,0,0,0.0,0.0,0.0
17/12/2021,8.4,7.5,-0.9,-10.71%,168900,0,168900,1.3,0.0,1.30041
16/12/2021,8.4,8.4,0.0,0,0,0,0,0.0,0.0,0.0
15/12/2021,8.4,8.4,0.0,0,0,0,0,0.0,0.0,0.0
14/12/2021,8.4,8.4,0.0,0,0,0,0,0.0,0.0,0.0
13/12/2021,8.4,8.4,0.0,0,0,0,0,0.0,0.0,0.0
10/12/2021,8.8,8.1,0.4,5.19%,275900,0,275800,2.3,0.0,2.30465
09/12/2021,7.7,7.7,0.0,0,0,0,0,0.0,0.0,0.0
08/12/2021,7.7,7.7,0.0,0,0,0,0,0.0,0.0,0.0
07/12/2021,7.7,7.7,0.0,0,0,0,0,0.0,0.0,0.0
06/12/2021,7.7,7.7,0.0,0,0,0,0,0.0,0.0,0.0
03/12/2021,7.7,7.7,1.0,14.93%,63332,0,63300,0.49,0.0,0.48766
02/12/2021,6.7,6.7,0.0,0,0,0,0,0.0,0.0,0.0
01/12/2021,6.7,6.7,0.0,0,0,0,0,0.0,0.0,0.0
30/11/2021,6.7,6.7,0.0,0,0,0,0,0.0,0.0,0.0
29/11/2021,6.7,6.7,0.0,0,0,0,0,0.0,0.0,0.0
26/11/2021,6.7,6.7,0.8,13.56%,26148,0,26100,0.18,0.0,0.17519
25/11/2021,5.9,5.9,0.0,0,0,0,0,0.0,0.0,0.0
24/11/2021,5.9,5.9,0.0,0,0,0,0,0.0,0.0,0.0
23/11/2021,5.9,5.9,0.0,0,0,0,0,0.0,0.0,0.0
22/11/2021,5.9,5.9,0.0,0,0,0,0,0.0,0.0,0.0
19/11/2021,5.9,5.9,0.7,13.46%,104800,50000,104800,0.62,0.26,0.87832
18/11/2021,5.2,5.2,0.0,0,0,0,0,0.0,0.0,0.0
17/11/2021,5.2,5.2,0.0,0,0,0,0,0.0,0.0,0.0
16/11/2021,5.2,5.2,0.0,0,0,0,0,0.0,0.0,0.0
15/11/2021,5.2,5.2,0.0,0,0,0,0,0.0,0.0,0.0
12/11/2021,5.0,5.2,0.6,13.04%,31511,0,31400,0.16,0.0,0.16384
11/11/2021,4.6,4.6,0.0,0,0,0,0,0.0,0.0,0.0
10/11/2021,4.6,4.6,0.0,0,0,0,0,0.0,0.0,0.0
09/11/2021,4.6,4.6,0.0,0,0,0,0,0.0,0.0,0.0
08/11/2021,4.6,4.6,0.0,0,0,0,0,0.0,0.0,0.0
05/11/2021,4.7,4.7,0.6,14.63%,130202,50000,130100,0.6,0.175,0.77417
04/11/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
03/11/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
02/11/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
01/11/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
29/10/2021,3.8,4.4,0.5,12.82%,275279,0,275200,1.13,0.0,1.13043
28/10/2021,3.9,3.9,0.0,0,0,0,0,0.0,0.0,0.0
27/10/2021,3.9,3.9,0.0,0,0,0,0,0.0,0.0,0.0
26/10/2021,3.9,3.9,0.0,0,0,0,0,0.0,0.0,0.0
25/10/2021,3.9,3.9,0.0,0,0,0,0,0.0,0.0,0.0
22/10/2021,3.6,3.9,0.4,11.43%,67500,0,67500,0.26,0.0,0.26039
21/10/2021,3.5,3.5,0.0,0,0,0,0,0.0,0.0,0.0
20/10/2021,3.5,3.5,0.0,0,0,0,0,0.0,0.0,0.0
19/10/2021,3.5,3.5,0.0,0,0,0,0,0.0,0.0,0.0
18/10/2021,3.5,3.5,0.0,0,0,0,0,0.0,0.0,0.0
15/10/2021,3.4,3.6,0.3,9.09%,65225,0,65200,0.23,0.0,0.22509
14/10/2021,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
13/10/2021,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
12/10/2021,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
11/10/2021,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
08/10/2021,3.3,3.3,-0.2,-5.71%,18858,0,18800,0.06,0.0,0.0622
07/10/2021,3.5,3.5,0.0,0,0,0,0,0.0,0.0,0.0
06/10/2021,3.5,3.5,0.0,0,0,0,0,0.0,0.0,0.0
05/10/2021,3.5,3.5,0.0,0,0,0,0,0.0,0.0,0.0
04/10/2021,3.5,3.5,0.0,0,0,0,0,0.0,0.0,0.0
01/10/2021,3.9,3.3,-0.1,-2.94%,80940,0,80900,0.29,0.0,0.28531
30/09/2021,3.4,3.4,0.0,0,0,0,0,0.0,0.0,0.0
29/09/2021,3.4,3.4,0.0,0,0,0,0,0.0,0.0,0.0
28/09/2021,3.4,3.4,0.0,0,0,0,0,0.0,0.0,0.0
27/09/2021,3.4,3.4,0.0,0,0,0,0,0.0,0.0,0.0
24/09/2021,3.3,3.5,0.4,12.90%,69740,0,69700,0.24,0.0,0.23864
23/09/2021,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
22/09/2021,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
21/09/2021,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
20/09/2021,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
17/09/2021,3.1,3.1,0.4,14.81%,56914,0,56800,0.18,0.0,0.17546
16/09/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
15/09/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
14/09/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
13/09/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
10/09/2021,2.6,2.9,0.2,7.41%,14311,0,14300,0.04,0.0,0.03922
09/09/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
08/09/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
07/09/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
06/09/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
01/09/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
31/08/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
30/08/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
27/08/2021,2.8,2.7,0.2,8.00%,9708,0,9700,0.03,0.0,0.02603
26/08/2021,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
25/08/2021,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
24/08/2021,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
23/08/2021,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
20/08/2021,2.5,2.5,0.0,0,11617,0,11600,0.03,0.0,0.02911
19/08/2021,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
18/08/2021,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
17/08/2021,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
16/08/2021,2.5,2.5,0.0,0,0,0,0,0.0,0.0,0.0
13/08/2021,2.7,2.5,-0.1,-3.85%,6800,0,6800,0.02,0.0,0.01727
12/08/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
11/08/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
10/08/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
09/08/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
06/08/2021,2.6,2.6,0.0,0,2601,0,2600,0.01,0.0,0.00676
05/08/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
04/08/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
03/08/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
02/08/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
30/07/2021,3.0,2.6,-0.1,-3.70%,1032,0,1000,0.0,0.0,0.00272
29/07/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
28/07/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
27/07/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
26/07/2021,2.7,2.7,0.0,0,0,0,0,0.0,0.0,0.0
23/07/2021,2.6,2.6,0.0,0,4400,0,4400,0.01,0.0,0.01185
22/07/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
21/07/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
20/07/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
19/07/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
16/07/2021,2.7,2.6,-0.3,-10.34%,9900,0,9900,0.03,0.0,0.02622
15/07/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
14/07/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
13/07/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
12/07/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
09/07/2021,3.3,2.8,-0.3,-9.68%,7600,0,7600,0.02,0.0,0.02206
08/07/2021,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
07/07/2021,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
06/07/2021,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
05/07/2021,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
02/07/2021,3.3,2.9,-0.2,-6.45%,16010,0,16000,0.05,0.0,0.04934
01/07/2021,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
30/06/2021,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
29/06/2021,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
28/06/2021,3.1,3.1,0.0,0,0,0,0,0.0,0.0,0.0
25/06/2021,3.2,3.1,-0.1,-3.13%,13900,0,13900,0.04,0.0,0.04289
24/06/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
23/06/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
22/06/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
21/06/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
18/06/2021,3.0,3.2,0.4,14.29%,35527,0,35500,0.11,0.0,0.11208
17/06/2021,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
16/06/2021,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
15/06/2021,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
14/06/2021,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
11/06/2021,2.7,3.1,0.3,10.71%,13978,0,13800,0.04,0.0,0.03922
10/06/2021,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
09/06/2021,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
08/06/2021,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
07/06/2021,2.8,2.8,0.0,0,0,0,0,0.0,0.0,0.0
04/06/2021,3.2,2.8,-0.4,-12.50%,103900,0,103900,0.3,0.0,0.29536
03/06/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
02/06/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
01/06/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
31/05/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
28/05/2021,2.9,3.3,0.4,13.79%,5000,0,5000,0.02,0.0,0.01592
27/05/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
26/05/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
25/05/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
24/05/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
21/05/2021,2.5,2.9,0.0,0,17700,0,17700,0.05,0.0,0.05151
20/05/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
19/05/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
18/05/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
17/05/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
14/05/2021,2.9,2.8,-0.4,-12.50%,14434,0,14400,0.04,0.0,0.04223
13/05/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
12/05/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
11/05/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
10/05/2021,3.2,3.2,0.0,0,0,0,0,0.0,0.0,0.0
07/05/2021,3.7,3.4,-0.3,-8.11%,42403,0,42400,0.14,0.0,0.13712
06/05/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
05/05/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
04/05/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
29/04/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
28/04/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
27/04/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
26/04/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
23/04/2021,3.6,3.7,-0.4,-9.76%,10681,0,10600,0.04,0.0,0.03921
22/04/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
20/04/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
19/04/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
16/04/2021,4.7,3.7,-0.4,-9.76%,71900,0,71900,0.29,0.0,0.29341
15/04/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
14/04/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
13/04/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
12/04/2021,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0
09/04/2021,3.8,4.2,0.5,13.51%,136147,275000,136100,0.56,0.88,1.4445
08/04/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
07/04/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
06/04/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
05/04/2021,3.7,3.7,0.0,0,0,0,0,0.0,0.0,0.0
02/04/2021,3.7,3.7,0.4,12.12%,154600,0,154600,0.57,0.0,0.56814
01/04/2021,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
31/03/2021,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
30/03/2021,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
29/03/2021,3.3,3.3,0.0,0,0,0,0,0.0,0.0,0.0
26/03/2021,3.3,3.3,0.4,13.79%,46135,200000,46100,0.15,0.5,0.65225
25/03/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
24/03/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
23/03/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
22/03/2021,2.9,2.9,0.0,0,0,0,0,0.0,0.0,0.0
19/03/2021,2.9,2.9,0.3,11.54%,40113,0,40100,0.12,0.0,0.11632
18/03/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
17/03/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
16/03/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
15/03/2021,2.6,2.6,0.0,0,0,0,0,0.0,0.0,0.0
12/03/2021,2.7,2.7,0.3,12.50%,106800,0,106800,0.28,0.0,0.27643
11/03/2021,2.4,2.4,0.0,0,0,0,0,0.0,0.0,0.0
10/03/2021,2.4,2.4,0.0,0,0,0,0,0.0,0.0,0.0
09/03/2021,2.4,2.4,0.0,0,0,0,0,0.0,0.0,0.0
08/03/2021,2.4,2.4,0.0,0,0,0,0,0.0,0.0,0.0
05/03/2021,2.4,2.4,0.3,14.29%,1800,500000,1700,0.0,0.9,0.90432
04/03/2021,2.1,2.1,0.0,0,0,0,0,0.0,0.0,0.0
03/03/2021,2.1,2.1,0.0,0,0,0,0,0.0,0.0,0.0
02/03/2021,2.1,2.1,0.0,0,0,0,0,0.0,0.0,0.0
01/03/2021,2.1,2.1,0.0,0,0,0,0,0.0,0.0,0.0
26/02/2021,2.1,2.1,0.2,10.53%,44921,0,44900,0.09,0.0,0.09433
25/02/2021,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
24/02/2021,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
23/02/2021,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
22/02/2021,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
19/02/2021,1.9,1.9,0.2,11.76%,3400,0,3400,0.01,0.0,0.00646
18/02/2021,1.7,1.7,0.0,0,0,0,0,0.0,0.0,0.0
17/02/2021,1.7,1.7,0.0,0,0,0,0,0.0,0.0,0.0
09/02/2021,1.7,1.7,0.0,0,0,0,0,0.0,0.0,0.0
08/02/2021,1.7,1.7,0.0,0,0,0,0,0.0,0.0,0.0
05/02/2021,1.7,2.1,0.2,10.53%,74100,0,74100,0.0,0.0,0.0
04/02/2021,1.9,1.9,0.0,0,0,0,0,0.0,0.0,0.0
